,SalePrice,zhvi_px,zhvi_idx,NbrLivingUnits,SqFtLot,SqFtTotLiving,SqFtFinBasement,Bathrooms,Bedrooms,BldgGrade,YrBuilt,YrRenovated,TrafficNoise,LandVal,ImpsVal,NewConstruction,PropertyType_Multiplex,PropertyType_Single Family,PropertyType_Townhouse,ZipGroup,AdjSalePrice
1,280000,405100,0.930836397058823,2,9373,2400,0,3.0,6,7,1991,0,0,70000,229000,0,1,0,0,1,300805.0
2,1000000,404400,0.929227941176471,1,20156,3764,1452,3.75,4,10,2005,0,0,203000,590000,1,0,1,0,1,1076162.0
3,745000,425600,0.977941176470588,1,26036,2060,900,1.75,4,8,1947,0,0,183000,275000,0,0,1,0,1,761805.0
4,425000,418400,0.961397058823529,1,8618,3200,1640,3.75,5,7,1966,0,0,104000,229000,0,0,1,0,1,442065.0
5,240000,351600,0.807904411764706,1,8620,1720,0,1.75,4,7,1948,0,0,104000,205000,0,0,1,0,1,297065.0
6,349900,369800,0.849724264705882,1,1012,930,0,1.5,2,8,2008,0,0,170000,207000,1,0,0,1,4,411781.0
7,327500,374300,0.860064338235294,1,34465,1750,0,1.5,3,8,1961,0,0,165000,227000,0,0,1,0,1,380785.0
8,347000,432100,0.992876838235294,1,14659,1860,620,1.75,4,7,1963,0,0,115000,154000,0,0,1,0,1,349489.0
9,220400,414800,0.953125,1,5324,990,0,1.0,2,6,1930,0,3,90000,75000,0,0,1,0,0,231239.0
10,437500,411100,0.944623161764706,2,10585,1980,0,2.0,4,6,1924,0,0,124000,116000,0,1,0,0,1,463148.0
11,150000,407400,0.936121323529412,1,12750,840,0,1.0,2,6,1925,0,0,133000,73000,0,0,1,0,1,160236.0
12,300000,350800,0.806066176470588,1,5200,1750,600,1.0,3,7,1958,0,1,100000,172000,0,0,1,0,4,372178.0
13,292000,403200,0.926470588235294,1,5240,790,0,1.0,2,6,1925,0,1,100000,152000,0,0,1,0,4,315175.0
14,299800,398100,0.914751838235294,1,5240,790,0,1.0,2,6,1925,0,1,100000,152000,0,0,1,0,4,327739.0
